gk_player_id,gk_name,gk_team,league,matches,xGA_pm,goals_conc_pm,saves_pm,save_pct,goals_prevented_pm,clean_sheet_pct,home_matches,home_save_pct,home_gp_pm,away_matches,away_save_pct,away_gp_pm,vs_hard_matches,vs_hard_save_pct,vs_hard_gp_pm,vs_easy_matches,vs_easy_save_pct,vs_easy_gp_pm,win_save_pct,draw_save_pct,loss_save_pct,ha_save_delta,adversity_index,consistency_cv,best_zone,zone_gp_six_yard,zone_gp_pen_area,zone_gp_outside_box,clinical_per_sot,loss_resilience
73,Oliver Baumann,Hoffenheim,Bundesliga,32,1.6801,1.5,2.7812,62.7,0.1801,18.8,16,66.2,0.0364,16,59.2,0.3239,8,54.4,0.3041,8,76.9,0.1359,73.0,52.2,55.4,7.0,0.168,5.503,pen_area,1.316,4.359,0.091,0.0406,55.4
126,Michael Zetterer,Eintracht Frankfurt,Bundesliga,20,1.4773,1.55,2.75,57.3,-0.0727,25.0,9,69.7,0.0521,11,50.8,-0.1748,5,56.4,-0.1326,5,72.7,0.1718,69.2,60.7,47.6,18.9,-0.304,13.273,six_yard,1.907,-0.619,-2.738,-0.0151,47.6
181,Bernd Leno,Fulham,EPL,35,1.6708,1.3143,2.5714,61.6,0.3565,22.9,17,61.7,0.4314,18,61.6,0.2858,9,70.0,1.1269,9,73.7,0.3719,74.4,65.0,54.2,0.1,0.755,2.741,six_yard,7.296,4.697,0.486,0.0855,54.2
199,Yann Sommer,Inter,Serie_A,32,0.9793,0.9375,1.9062,63.5,0.0418,46.9,16,70.0,-0.0798,16,56.5,0.1634,8,65.9,0.4366,8,54.5,-0.0698,73.4,53.3,35.3,13.5,0.506,24.844,six_yard,2.244,0.059,-0.968,0.0139,35.3
217,Manuel Neuer,Bayern Munich,Bundesliga,21,1.1036,0.9524,1.6667,59.3,0.1512,33.3,11,60.0,0.1473,10,58.8,0.1555,6,56.5,0.8797,5,63.6,-0.3878,64.0,33.3,,1.2,1.268,5.958,pen_area,-0.595,4.745,-0.975,0.0538,
281,Lukas Hradecky,Monaco,Ligue_1,15,1.8293,1.6,3.2,64.0,0.2293,13.3,7,75.7,0.3061,8,52.6,0.162,4,56.5,0.4152,4,58.8,-0.389,70.4,66.7,58.3,23.1,0.804,4.671,pen_area,1.537,2.478,-0.578,0.0459,58.3
375,Odisseas Vlachodimos,Sevilla,La_Liga,30,1.6812,1.6,2.7333,62.6,0.0812,16.7,15,66.1,0.2116,15,60.0,-0.0492,8,61.8,0.4491,8,80.0,0.0705,87.1,57.9,54.3,6.1,0.379,11.31,six_yard,1.784,0.789,-0.134,0.0186,54.3
546,David de Gea,Fiorentina,Serie_A,35,1.5366,1.3714,3.0571,66.5,0.1652,22.9,17,65.2,0.1298,18,67.4,0.1986,9,64.1,0.1281,9,76.9,0.3471,87.1,67.3,58.0,-2.2,-0.219,4.351,six_yard,5.217,4.683,-4.122,0.0359,58.0
680,Thibaut Courtois,Real Madrid,La_Liga,28,1.1964,0.8214,2.0357,65.5,0.375,39.3,14,72.5,0.3306,14,59.6,0.4194,7,48.1,0.421,7,64.3,0.1386,73.2,75.0,36.8,12.9,0.282,2.232,pen_area,1.532,9.234,-0.268,0.1207,36.8
741,Jordan Pickford,Everton,EPL,35,1.551,1.2286,2.6571,63.7,0.3224,31.4,18,60.3,0.1043,17,67.1,0.5534,9,60.4,0.6764,9,82.1,0.2033,83.1,53.6,49.2,-6.8,0.473,3.173,pen_area,3.372,7.046,0.865,0.0773,49.2
