team,league,matches,corr_gp_vs_DEF_buildup,corr_gp_vs_DEF_chain,corr_gp_vs_DEF_xG,corr_gp_vs_MID_buildup,corr_gp_vs_MID_chain,corr_gp_vs_MID_xG,corr_gp_vs_ATT_MID_buildup,corr_gp_vs_ATT_MID_chain,corr_gp_vs_ATT_MID_xG,corr_gp_vs_FWD_buildup,corr_gp_vs_FWD_chain,corr_gp_vs_FWD_xG,corr_save_pct_vs_team_xG,def_buildup_cleansheet_vs_not,def_buildup_share,fwd_xG_share
AC Milan,Serie_A,35,0.11,0.077,-0.116,-0.266,-0.167,0.052,0.012,0.025,0.032,-0.035,0.175,0.165,0.121,0.301,50.7,53.6
Alaves,La_Liga,35,0.021,0.036,-0.007,0.225,0.242,0.141,-0.135,-0.231,-0.076,-0.026,0.127,0.087,-0.04,-0.53,48.1,55.0
Angers,Ligue_1,32,0.135,0.131,0.071,0.042,0.007,-0.35,0.161,0.105,-0.115,-0.106,-0.059,-0.038,0.31,0.12,48.4,44.9
Arsenal,EPL,35,-0.026,-0.077,0.279,0.046,0.13,0.145,-0.426,-0.407,-0.404,0.152,0.248,0.27,-0.066,0.215,44.7,46.0
Aston Villa,EPL,35,-0.38,-0.363,-0.14,-0.344,-0.267,-0.066,-0.372,-0.431,-0.343,0.123,-0.083,0.082,-0.037,-0.451,44.7,37.2
Atalanta,Serie_A,35,-0.039,-0.037,0.016,0.041,0.014,0.068,-0.001,0.081,-0.068,0.074,-0.015,-0.014,0.035,0.233,47.1,34.7
Athletic Club,La_Liga,34,-0.058,-0.055,-0.167,-0.053,-0.1,0.018,0.165,0.11,-0.023,0.304,0.036,-0.109,-0.014,0.103,48.4,29.5
Atletico Madrid,La_Liga,34,-0.204,-0.255,-0.421,0.003,0.017,0.252,-0.229,-0.149,-0.038,-0.171,-0.318,-0.529,-0.42,-0.432,51.6,51.9
Augsburg,Bundesliga,32,0.254,0.355,0.287,0.147,0.16,0.346,0.117,0.026,-0.199,0.158,0.235,0.347,0.433,0.402,48.3,27.3
Auxerre,Ligue_1,32,0.098,0.102,-0.432,0.261,0.163,0.138,-0.086,-0.052,-0.043,0.116,0.108,-0.162,-0.262,-0.175,42.8,51.7
Barcelona,La_Liga,34,-0.222,-0.25,0.089,-0.342,-0.322,-0.14,0.107,0.162,0.249,-0.44,-0.461,-0.559,-0.304,-0.117,45.5,43.1
Bayer Leverkusen,Bundesliga,32,-0.025,-0.009,-0.147,-0.024,-0.059,-0.149,0.04,0.101,-0.056,-0.19,0.028,0.157,0.044,1.17,55.5,36.9
Bayern Munich,Bundesliga,32,0.11,0.072,-0.104,-0.08,-0.04,0.113,0.131,-0.036,-0.107,0.084,0.174,0.228,0.179,0.428,43.2,32.2
Bologna,Serie_A,35,-0.14,-0.095,-0.053,-0.091,-0.068,0.018,0.053,0.009,0.084,-0.086,-0.31,-0.215,-0.062,0.091,46.0,28.5
Borussia Dortmund,Bundesliga,33,-0.073,-0.119,-0.426,-0.286,-0.416,-0.207,0.105,-0.02,-0.151,-0.086,-0.002,0.166,-0.126,0.911,56.3,35.3
Borussia M.Gladbach,Bundesliga,32,0.164,0.215,0.283,0.279,0.218,-0.182,0.137,0.06,-0.319,0.241,0.359,0.401,0.254,0.759,52.5,39.1
Bournemouth,EPL,35,0.015,-0.009,-0.013,0.022,-0.024,-0.102,0.011,0.035,-0.046,-0.107,-0.239,-0.32,-0.381,0.081,45.4,22.4
Brentford,EPL,35,-0.155,-0.173,0.064,-0.069,-0.031,0.143,0.026,0.021,0.076,-0.041,0.009,-0.199,-0.08,-0.21,45.8,44.8
Brest,Ligue_1,31,0.045,0.076,-0.07,0.12,0.023,-0.239,0.263,0.229,-0.105,0.224,0.388,0.307,0.136,0.258,41.3,32.0
Brighton,EPL,35,-0.156,-0.163,-0.246,-0.102,-0.027,0.317,-0.054,0.069,0.081,-0.154,-0.159,-0.143,-0.072,0.066,48.2,28.8
Burnley,EPL,35,-0.032,-0.061,0.169,0.06,-0.06,-0.254,-0.001,0.151,0.447,-0.089,-0.099,-0.077,0.032,-0.258,46.5,46.3
Cagliari,Serie_A,36,-0.147,-0.192,0.089,-0.076,-0.131,-0.118,-0.029,0.032,0.052,-0.286,-0.254,-0.237,-0.103,-0.0,53.3,44.2
Celta Vigo,La_Liga,34,0.142,0.15,-0.17,-0.07,-0.109,-0.062,0.187,0.297,0.251,0.222,0.035,-0.061,-0.079,-0.051,61.6,61.7
Chelsea,EPL,36,-0.015,0.002,0.237,-0.013,-0.005,-0.151,0.105,0.222,0.216,-0.032,-0.021,-0.069,0.015,-0.142,42.2,28.3
Como,Serie_A,35,-0.02,-0.037,0.042,0.035,-0.003,-0.073,-0.067,-0.071,-0.01,-0.026,0.19,0.358,0.185,0.253,44.3,29.9
Cremonese,Serie_A,35,-0.245,-0.252,0.154,0.128,0.135,0.074,,,,-0.063,-0.197,-0.188,0.007,0.015,47.1,55.7
Crystal Palace,EPL,34,-0.132,-0.087,-0.006,0.204,0.094,-0.168,-0.097,-0.005,0.194,0.264,-0.045,-0.244,-0.231,-0.354,55.7,33.9
Eintracht Frankfurt,Bundesliga,33,0.188,0.193,-0.124,-0.22,-0.245,-0.258,0.192,0.165,0.114,-0.118,-0.079,-0.019,0.203,0.083,52.0,34.4
Elche,La_Liga,35,-0.118,-0.127,-0.102,-0.12,-0.079,-0.052,0.069,0.081,0.059,0.113,0.146,-0.067,0.077,0.011,49.3,67.4
Espanyol,La_Liga,34,0.06,0.104,-0.042,0.231,0.111,-0.156,-0.057,-0.029,-0.309,0.299,0.257,0.314,-0.082,-0.152,43.0,34.8
Everton,EPL,35,-0.144,-0.1,0.117,-0.158,-0.01,-0.073,-0.196,-0.203,-0.11,0.14,-0.053,-0.069,0.259,-0.1,36.7,36.2
FC Cologne,Bundesliga,32,-0.123,-0.001,-0.133,0.227,0.234,-0.037,-0.292,-0.161,-0.067,0.127,-0.079,-0.056,-0.105,0.064,46.7,55.7
FC Heidenheim,Bundesliga,32,0.264,0.144,-0.076,0.19,0.216,0.109,0.162,0.49,0.565,-0.066,-0.058,-0.005,0.012,-0.44,44.0,30.8
Fiorentina,Serie_A,35,-0.17,-0.115,-0.198,0.046,0.037,0.004,0.084,0.083,0.095,-0.067,0.01,-0.08,-0.214,-0.169,44.4,58.2
Freiburg,Bundesliga,32,-0.006,-0.014,0.061,0.034,0.037,-0.048,0.125,0.011,-0.125,0.007,0.219,0.196,0.235,0.672,45.7,27.4
Fulham,EPL,35,-0.022,0.003,-0.058,0.132,0.139,0.092,0.137,0.113,0.079,0.065,0.134,0.066,0.152,0.754,50.1,35.0
Genoa,Serie_A,35,-0.203,-0.18,0.017,-0.136,-0.126,-0.022,0.126,0.17,0.077,0.16,0.031,-0.116,0.002,0.022,54.4,40.9
Getafe,La_Liga,34,0.136,0.18,0.042,0.103,0.172,0.248,,-0.001,-0.001,0.064,0.071,-0.042,0.251,0.34,45.2,38.6
Girona,La_Liga,34,0.286,0.203,-0.188,0.143,0.072,-0.34,0.286,0.334,0.295,0.017,0.248,0.314,0.144,0.061,46.8,32.6
Hamburger SV,Bundesliga,32,0.101,0.191,0.231,0.081,0.11,0.109,0.136,0.181,0.237,0.131,0.143,0.105,-0.053,0.358,49.3,43.8
Hoffenheim,Bundesliga,32,-0.041,-0.034,0.011,0.056,0.025,0.002,-0.2,-0.138,-0.017,0.044,0.253,0.233,0.063,-0.381,44.3,28.0
Inter,Serie_A,35,-0.076,-0.055,-0.137,0.031,0.0,-0.276,,,,-0.036,-0.025,0.114,-0.151,0.339,53.8,47.6
Juventus,Serie_A,35,0.179,0.12,-0.116,0.194,0.239,0.062,-0.047,-0.072,0.031,0.028,0.146,-0.034,0.25,0.541,52.7,29.8
Lazio,Serie_A,35,-0.087,-0.035,-0.173,0.167,0.149,-0.083,0.063,0.134,0.203,-0.128,0.021,0.021,-0.177,0.112,43.8,52.3
Le Havre,Ligue_1,32,-0.108,-0.143,-0.421,-0.018,-0.127,-0.209,0.241,-0.206,-0.273,-0.2,0.051,0.249,-0.078,-0.301,45.8,45.9
Lecce,Serie_A,35,-0.05,-0.038,-0.221,-0.139,-0.157,-0.072,0.114,0.082,0.062,0.06,0.202,0.071,-0.137,-0.089,38.7,25.7
Leeds,EPL,35,-0.135,-0.109,-0.132,-0.16,-0.032,0.146,0.073,0.129,0.165,-0.128,-0.217,-0.134,0.108,-0.411,44.6,55.0
Lens,Ligue_1,32,-0.127,-0.116,0.039,0.086,-0.078,-0.243,-0.022,0.287,0.346,0.265,-0.017,-0.117,0.223,0.235,53.4,26.9
Levante,La_Liga,35,-0.019,-0.04,-0.171,0.017,0.036,0.014,0.107,0.096,0.024,0.411,0.099,-0.247,0.084,1.235,49.9,41.5
Lille,Ligue_1,32,0.088,0.105,0.133,0.121,0.083,-0.236,0.197,0.177,0.178,-0.027,0.007,0.159,0.06,0.191,46.8,34.9
Liverpool,EPL,36,0.179,0.184,0.054,0.035,0.061,-0.112,0.181,0.118,0.008,-0.115,-0.272,-0.021,-0.241,0.272,38.6,29.9
Lorient,Ligue_1,32,0.103,0.125,0.007,0.163,0.135,-0.05,0.071,0.255,-0.061,0.219,0.201,-0.243,0.014,-0.073,53.9,44.0
Lyon,Ligue_1,32,-0.013,-0.042,-0.222,0.091,0.057,-0.019,-0.227,-0.197,-0.146,0.06,0.148,0.022,0.018,0.336,46.4,41.8
Mainz 05,Bundesliga,32,-0.092,-0.086,-0.145,0.063,0.053,-0.041,-0.172,0.009,0.095,0.046,-0.052,-0.034,-0.063,0.15,48.7,38.8
Mallorca,La_Liga,34,0.214,0.245,0.082,0.175,0.281,0.155,0.125,0.224,0.23,0.41,0.384,-0.158,0.077,0.172,48.4,53.4
Manchester City,EPL,34,0.016,0.061,0.03,-0.009,0.032,-0.025,0.211,0.228,0.187,-0.435,-0.307,0.018,0.063,0.758,47.0,48.6
Manchester United,EPL,35,-0.414,-0.474,-0.17,-0.274,-0.317,-0.236,-0.21,-0.252,-0.072,-0.003,-0.245,-0.262,-0.081,0.037,44.6,26.9
Marseille,Ligue_1,32,-0.299,-0.327,-0.18,-0.372,-0.287,0.208,-0.142,-0.16,-0.281,-0.285,-0.416,-0.295,-0.111,0.16,53.2,31.9
Metz,Ligue_1,32,-0.055,-0.192,0.172,-0.017,0.175,0.237,-0.024,-0.039,-0.03,-0.111,-0.078,-0.038,-0.017,0.114,48.7,33.7
Monaco,Ligue_1,32,0.185,0.171,-0.05,0.089,0.028,-0.159,0.077,0.187,0.201,-0.178,-0.053,0.01,0.132,0.932,51.2,38.7
Nantes,Ligue_1,33,-0.138,-0.05,-0.135,0.196,0.141,-0.05,0.113,0.156,0.13,-0.135,-0.163,-0.003,-0.001,0.011,44.3,48.8
Napoli,Serie_A,35,-0.245,-0.241,-0.03,-0.058,-0.06,-0.012,-0.161,-0.066,-0.009,-0.083,-0.09,-0.093,0.017,-0.13,55.6,32.5
Newcastle United,EPL,35,0.069,0.033,0.041,0.04,0.14,0.106,0.309,0.297,0.174,-0.077,-0.194,-0.12,-0.145,0.333,47.4,53.7
Nice,Ligue_1,32,-0.187,-0.139,0.238,-0.158,-0.022,0.124,-0.28,-0.135,-0.022,-0.454,-0.32,-0.147,0.227,0.132,53.3,29.5
Nottingham Forest,EPL,35,-0.031,-0.029,-0.058,-0.086,-0.133,-0.237,0.038,0.025,0.007,-0.186,-0.03,0.087,0.259,0.537,47.4,30.0
Osasuna,La_Liga,35,-0.151,-0.197,-0.145,0.059,-0.084,-0.264,-0.105,-0.072,-0.211,0.025,-0.051,-0.181,-0.058,0.242,45.0,51.1
Paris FC,Ligue_1,32,0.293,0.304,-0.096,0.131,0.162,0.356,0.091,0.096,0.08,0.117,0.074,-0.109,0.172,-0.185,45.1,37.0
Paris Saint Germain,Ligue_1,31,0.011,0.064,0.046,0.11,0.035,-0.153,,,,0.002,0.024,0.05,0.131,0.853,48.8,65.3
Parma Calcio 1913,Serie_A,35,-0.112,-0.128,-0.11,-0.23,-0.274,-0.209,0.217,0.167,0.097,-0.138,-0.198,-0.103,-0.233,-0.386,51.8,56.9
Pisa,Serie_A,35,-0.052,-0.043,0.084,0.147,-0.043,-0.264,0.075,0.11,0.157,0.083,0.031,-0.108,-0.031,-0.446,48.8,50.3
RasenBallsport Leipzig,Bundesliga,32,-0.016,0.008,0.281,-0.011,0.082,0.192,-0.227,-0.153,-0.08,0.048,0.059,0.129,-0.145,-0.144,48.7,44.7
Rayo Vallecano,La_Liga,34,0.213,0.17,-0.22,0.097,0.087,-0.019,0.118,0.098,0.113,0.156,0.037,0.055,0.06,0.334,47.3,30.2
Real Betis,La_Liga,34,-0.001,0.026,0.045,0.212,0.151,-0.126,0.241,0.254,0.293,-0.009,0.041,0.01,0.145,-0.004,35.2,41.9
Real Madrid,La_Liga,34,0.008,0.082,0.383,0.062,-0.048,-0.111,0.073,-0.054,-0.082,0.144,0.178,0.217,0.13,0.063,44.8,53.3
Real Oviedo,La_Liga,34,-0.001,-0.039,0.127,-0.012,0.044,-0.016,0.27,0.382,0.379,-0.068,-0.236,-0.156,-0.067,-0.015,46.9,37.8
Real Sociedad,La_Liga,34,0.018,-0.017,-0.043,0.248,0.145,-0.047,-0.23,-0.221,-0.11,0.057,0.221,0.063,0.102,0.133,41.5,45.3
Rennes,Ligue_1,32,0.069,0.098,0.091,0.016,0.068,-0.024,0.326,0.261,0.392,-0.003,0.012,0.093,-0.174,-0.178,51.8,58.0
Roma,Serie_A,35,-0.116,-0.081,-0.154,0.036,0.092,0.212,0.07,-0.017,0.119,0.034,-0.075,-0.163,-0.151,0.398,49.5,43.0
Sassuolo,Serie_A,36,0.037,0.044,0.057,-0.191,-0.16,0.028,0.093,0.093,0.093,-0.079,-0.247,-0.064,0.045,-0.011,36.3,60.3
Sevilla,La_Liga,34,0.006,0.029,-0.272,0.209,0.203,-0.1,-0.073,0.042,0.05,0.339,0.478,0.494,0.332,0.205,51.5,47.3
St. Pauli,Bundesliga,32,-0.1,-0.049,-0.082,-0.038,-0.042,0.152,0.143,0.139,-0.017,-0.057,-0.146,-0.082,-0.187,-0.647,46.2,44.4
Strasbourg,Ligue_1,31,-0.066,-0.142,-0.135,-0.139,-0.158,-0.105,-0.192,-0.032,-0.016,-0.035,0.173,0.099,0.125,0.177,52.2,39.6
Sunderland,EPL,35,0.26,0.195,0.086,0.109,0.048,-0.186,0.254,0.224,0.103,0.112,0.026,-0.058,-0.085,0.699,44.2,33.5
Torino,Serie_A,36,0.285,0.311,0.259,0.289,0.235,-0.236,0.058,0.067,0.048,0.248,0.142,-0.045,-0.005,0.087,46.9,45.0
Tottenham,EPL,35,0.205,0.12,-0.071,0.144,0.108,0.016,-0.105,-0.074,-0.069,0.054,0.079,-0.059,-0.062,0.456,46.7,40.2
Toulouse,Ligue_1,32,-0.205,-0.21,-0.32,-0.25,-0.339,-0.574,-0.109,0.017,-0.056,-0.11,-0.011,0.098,-0.211,-0.242,53.4,31.0
Udinese,Serie_A,36,0.21,0.193,-0.085,0.282,0.227,0.047,-0.035,-0.14,-0.122,0.17,0.072,0.047,0.146,0.314,49.5,38.8
Union Berlin,Bundesliga,32,-0.347,-0.37,-0.499,-0.344,-0.375,-0.213,-0.02,-0.153,-0.174,-0.111,-0.37,-0.23,-0.202,-0.137,53.4,31.0
Valencia,La_Liga,34,0.046,0.029,0.106,0.098,0.126,-0.214,0.162,0.154,0.163,0.029,0.065,0.052,-0.373,-0.145,47.9,40.1
