team,league,n_players,total_team_minutes,team_avg_xG_p90,team_avg_xA_p90,team_avg_shots_p90,team_avg_key_passes_p90,team_avg_xGChain_p90,team_avg_xGBuildup_p90,team_win_rate,team_draw_rate,xG_herfindahl,xA_herfindahl,home_away_xG_multiplier,vs_top_win_rate,xG_contributors_5pct,team_buildup_ratio,primary_gk_id,primary_gk_name,gk_matches,gk_save_pct,gk_goals_prevented,gk_xGA,gk_goals_conceded,gk_clean_sheets,gk_clean_sheet_pct,gk_adversity_index,gk_ha_save_delta,gk_consistency_cv,gk_best_zone,gk_loss_resilience,gk_depth,total_gk_matches,gk_goals_prevented_per90
AC Milan,Serie A,26,34394,0.1497,0.1231,1.2822,1.0859,0.5461,0.3791,0.4,0.2,0.1102,0.0932,0.915,0.1667,6,0.6943,,,,,,,,,,,,,,,,,
"AC Milan,Bologna",Serie A,1,949,0.0597,0.1334,0.569,1.3277,0.4124,0.3002,0.2778,0.2778,1.0,1.0,0.0,0.0,1,0.728,,,,,,,,,,,,,,,,,
"AC Milan,Fiorentina",Serie A,1,932,0.1136,0.134,2.3176,1.4485,0.4503,0.2727,0.4167,0.2083,1.0,1.0,0.0,0.0,1,0.6056,,,,,,,,,,,,,,,,,
"AC Milan,Monza",Serie A,2,2201,0.0376,0.0387,0.8178,0.3271,0.3377,0.2715,0.3636,0.303,0.5034,0.551,0.0,0.0,2,0.804,,,,,,,,,,,,,,,,,
"AC Milan,Napoli",Serie A,1,435,0.4614,0.1581,2.6897,1.4483,0.7494,0.1342,0.2,0.4667,1.0,1.0,0.0,1.0,1,0.1791,,,,,,,,,,,,,,,,,
"AC Milan,Roma",Serie A,2,2684,0.3626,0.1842,1.7772,1.3748,0.7484,0.3622,0.2549,0.2745,0.5933,0.5043,0.0,0.3333,2,0.484,,,,,,,,,,,,,,,,,
Alaves,La Liga,26,36281,0.1135,0.0623,0.9575,0.6474,0.2084,0.1067,0.2632,0.3158,0.1022,0.1074,0.9524,0.125,8,0.5119,,,,,,,,,,,,,,,,,
"Alaves,Getafe",La Liga,1,1568,0.0715,0.1187,1.148,1.3202,0.2024,0.0685,0.2917,0.4583,1.0,1.0,0.0,0.0,1,0.3383,,,,,,,,,,,,,,,,,
"Alaves,Valencia",La Liga,1,2898,0.1228,0.1391,0.9317,1.087,0.3058,0.1683,0.1622,0.3514,1.0,1.0,0.0,0.0,1,0.5503,,,,,,,,,,,,,,,,,
"Alaves,Villarreal",La Liga,1,311,0.1755,0.179,1.7363,1.4469,0.7154,0.3723,0.375,0.25,1.0,1.0,0.0,0.1667,1,0.5203,,,,,,,,,,,,,,,,,
Angers,Ligue 1,30,33526,0.1083,0.0728,0.8483,0.5798,0.2682,0.1466,0.2941,0.1765,0.1256,0.0931,1.002,0.1,7,0.5466,,,,,,,,,,,,,,,,,
Arsenal,Premier League,24,37433,0.1818,0.1409,1.3127,1.0338,0.5128,0.3219,0.5263,0.3684,0.0922,0.1121,1.0652,0.4286,7,0.6277,,,,,,,,,,,,,,,,,
"Arsenal,Fulham",Premier League,1,491,0.26,0.2072,2.0163,2.3829,0.8678,0.564,0.4167,0.25,1.0,1.0,0.0,0.0,1,0.6499,,,,,,,,,,,,,,,,,
Aston Villa,Premier League,25,38277,0.1755,0.1193,1.2039,0.8653,0.4875,0.3042,0.3647,0.2824,0.1187,0.0989,1.2619,0.2895,6,0.624,,,,,,,,,,,,,,,,,
"Aston Villa,Chelsea",Premier League,1,844,0.0666,0.036,0.4265,0.5332,0.2674,0.2363,0.3846,0.2308,1.0,1.0,0.0,0.5,1,0.8835,,,,,,,,,,,,,,,,,
"Aston Villa,Ipswich",Premier League,1,786,0.3201,0.0382,2.1756,0.687,0.3498,0.1837,0.381,0.1905,1.0,1.0,0.0,0.0,1,0.5252,,,,,,,,,,,,,,,,,
"Aston Villa,Manchester United",Premier League,1,1435,0.3127,0.2966,2.1951,1.6934,0.6288,0.2201,0.28,0.24,1.0,1.0,0.0,0.4,1,0.3501,,,,,,,,,,,,,,,,,
Atalanta,Serie A,24,32954,0.2169,0.1476,1.412,1.0952,0.6213,0.3884,0.4355,0.2419,0.1488,0.0892,0.9171,0.0,6,0.6252,,,,,,,,,,,,,,,,,
"Atalanta,Bologna",Serie A,1,1087,0.0572,0.0641,0.414,0.828,0.3757,0.3093,0.3158,0.4737,1.0,1.0,0.0,0.3333,1,0.8234,,,,,,,,,,,,,,,,,
"Atalanta,Fiorentina",Serie A,1,665,0.2592,0.1686,2.7068,1.6241,0.6391,0.2684,0.2609,0.1739,1.0,1.0,0.0,0.125,1,0.42,,,,,,,,,,,,,,,,,
"Atalanta,Monza",Serie A,1,1574,0.3834,0.0971,2.8018,0.9149,0.5507,0.1254,0.3667,0.3,1.0,1.0,0.0,0.375,1,0.2278,,,,,,,,,,,,,,,,,
"Atalanta,Torino",Serie A,1,2505,0.0724,0.2214,0.6826,1.2575,0.5342,0.3341,0.4571,0.2286,1.0,1.0,0.0,0.2632,1,0.6254,,,,,,,,,,,,,,,,,
Athletic Club,La Liga,31,37590,0.1455,0.1025,1.1253,0.8452,0.427,0.2638,0.5,0.3421,0.1019,0.0962,1.438,0.25,6,0.6177,,,,,,,,,,,,,,,,,
Atletico Madrid,La Liga,24,37626,0.1749,0.1281,1.1194,0.83,0.5835,0.3673,0.5897,0.2564,0.1479,0.0897,1.7779,0.1667,5,0.6295,,,,,,,,,,,,,,,,,
Augsburg,Bundesliga,24,29302,0.1104,0.0791,1.0781,0.8078,0.2975,0.1781,0.3235,0.2941,0.104,0.1,1.9275,0.2,6,0.5986,6596.0,Finn Dahmen,19.0,71.4,14.423,31.423,17.0,9.0,47.4,0.507,-1.3,1.257,six_yard,55.3,2.0,34.0,0.759
"Augsburg,FC Heidenheim",Bundesliga,1,1408,0.0701,0.0723,0.5753,0.831,0.1969,0.0865,0.4783,0.1739,1.0,1.0,0.0,0.2,1,0.4393,6596.0,Finn Dahmen,19.0,71.4,14.423,31.423,17.0,9.0,47.4,0.507,-1.3,1.257,six_yard,55.3,2.0,34.0,0.759
