entity,entity_type,cell_x,cell_y,xT
AC Milan,team,0,0,0.0
AC Milan,team,0,1,0.0
AC Milan,team,0,2,0.0
AC Milan,team,0,3,0.0
AC Milan,team,0,4,0.0
AC Milan,team,0,5,0.0
AC Milan,team,0,6,0.0
AC Milan,team,0,7,0.0
AC Milan,team,0,8,0.0
AC Milan,team,0,9,0.0
AC Milan,team,0,10,0.0
AC Milan,team,0,11,0.0
AC Milan,team,1,0,0.0
AC Milan,team,1,1,0.0
AC Milan,team,1,2,0.0
AC Milan,team,1,3,0.0
AC Milan,team,1,4,0.0
AC Milan,team,1,5,0.0
AC Milan,team,1,6,0.0
AC Milan,team,1,7,0.0
AC Milan,team,1,8,0.0
AC Milan,team,1,9,0.0
AC Milan,team,1,10,0.0
AC Milan,team,1,11,0.0
AC Milan,team,2,0,0.0
AC Milan,team,2,1,0.0
AC Milan,team,2,2,0.0
AC Milan,team,2,3,0.0
AC Milan,team,2,4,0.0
AC Milan,team,2,5,0.0
AC Milan,team,2,6,0.0
AC Milan,team,2,7,0.0
AC Milan,team,2,8,0.0
AC Milan,team,2,9,0.0
AC Milan,team,2,10,0.0
AC Milan,team,2,11,0.0
AC Milan,team,3,0,0.0
AC Milan,team,3,1,0.0
AC Milan,team,3,2,0.0
AC Milan,team,3,3,0.0
AC Milan,team,3,4,0.0
AC Milan,team,3,5,0.0
AC Milan,team,3,6,0.0
AC Milan,team,3,7,0.0
AC Milan,team,3,8,0.0
AC Milan,team,3,9,0.0
AC Milan,team,3,10,0.0
AC Milan,team,3,11,0.0
AC Milan,team,4,0,0.0
AC Milan,team,4,1,0.0
AC Milan,team,4,2,0.0
AC Milan,team,4,3,0.0
AC Milan,team,4,4,0.0
AC Milan,team,4,5,0.0
AC Milan,team,4,6,0.0
AC Milan,team,4,7,0.0
AC Milan,team,4,8,0.0
AC Milan,team,4,9,0.0
AC Milan,team,4,10,0.0
AC Milan,team,4,11,0.0
AC Milan,team,5,0,0.0
AC Milan,team,5,1,0.0
AC Milan,team,5,2,0.0
AC Milan,team,5,3,0.0
AC Milan,team,5,4,0.0
AC Milan,team,5,5,0.0
AC Milan,team,5,6,0.0
AC Milan,team,5,7,0.0
AC Milan,team,5,8,0.0
AC Milan,team,5,9,0.0
AC Milan,team,5,10,0.0
AC Milan,team,5,11,0.0
AC Milan,team,6,0,0.0
AC Milan,team,6,1,0.0
AC Milan,team,6,2,0.0
AC Milan,team,6,3,0.0
AC Milan,team,6,4,0.0
AC Milan,team,6,5,0.0
AC Milan,team,6,6,0.0
AC Milan,team,6,7,0.0
AC Milan,team,6,8,0.0
AC Milan,team,6,9,0.0
AC Milan,team,6,10,0.0
AC Milan,team,6,11,0.0
AC Milan,team,7,0,0.0
AC Milan,team,7,1,0.0
AC Milan,team,7,2,0.0
AC Milan,team,7,3,0.0
