match_id,gk_player_id,gk_name,gk_team,shots_faced,shots_on_target,goals_conceded,saves,save_pct,xGA,npxGA,goals_prevented,np_goals_prevented,penalties_faced,penalties_conceded,penalties_saved,clean_sheet,shots_six_yard,xG_six_yard,goals_six_yard,shots_pen_area,xG_pen_area,goals_pen_area,shots_outside_box,xG_outside_box,goals_outside_box,shots_open_play,xG_open_play,goals_open_play,shots_set_piece,xG_set_piece,goals_set_piece,shots_foot,xG_foot,shots_head,xG_head,gk_home_away,gk_goals_for,gk_goals_against,match_result,h_team,a_team,date,league
26602,181,Bernd Leno,Fulham,14,5,1,4,80.0,2.043,2.043,1.043,1.043,0,0,0,0,1,0.018,0,6,1.72,1,7,0.305,0,12,2.001,1,2,0.041,0,13,2.025,1,0.018,away,0,1,L,Manchester United,Fulham,2024-08-16 19:00:00,EPL
26602,10913,André Onana,Manchester United,10,2,0,2,100.0,0.419,0.419,0.419,0.419,0,0,0,1,2,0.085,0,4,0.2,0,4,0.134,0,5,0.181,0,5,0.238,0,6,0.215,4,0.204,home,1,0,W,Manchester United,Fulham,2024-08-16 19:00:00,EPL
26603,1257,Alisson,Liverpool,7,2,0,2,100.0,0.343,0.343,0.343,0.343,0,0,0,1,0,0.0,0,5,0.243,0,2,0.099,0,3,0.17,0,4,0.172,0,5,0.24,2,0.103,away,2,0,W,Ipswich,Liverpool,2024-08-17 11:30:00,EPL
26603,9251,Christian Walton,Ipswich,19,5,2,3,60.0,3.935,3.935,1.935,1.935,0,0,0,0,2,1.316,0,11,2.436,2,6,0.183,0,16,3.845,2,3,0.09,0,17,3.472,2,0.464,home,0,2,L,Ipswich,Liverpool,2024-08-17 11:30:00,EPL
26604,9676,David Raya,Arsenal,9,3,0,3,100.0,0.576,0.576,0.576,0.576,0,0,0,1,0,0.0,0,6,0.452,0,3,0.124,0,8,0.509,0,1,0.067,0,7,0.311,2,0.265,home,2,0,W,Arsenal,Wolverhampton Wanderers,2024-08-17 14:00:00,EPL
26604,9740,José Sá,Wolverhampton Wanderers,18,6,2,4,66.66666666666666,1.628,1.628,-0.372,-0.372,0,0,0,0,1,0.064,0,11,1.37,2,6,0.195,0,15,1.523,2,3,0.105,0,15,0.837,3,0.791,away,0,2,L,Arsenal,Wolverhampton Wanderers,2024-08-17 14:00:00,EPL
26605,741,Jordan Pickford,Everton,10,6,3,2,33.33333333333333,1.791,1.791,-1.209,-1.209,0,0,0,0,1,0.758,1,8,1.009,2,1,0.024,0,8,1.661,3,2,0.13,0,9,1.696,1,0.095,home,0,3,L,Everton,Brighton,2024-08-17 14:00:00,EPL
26605,7235,Jason Steele,Brighton,9,1,0,1,100.0,0.406,0.406,0.406,0.406,0,0,0,1,0,0.0,0,6,0.344,0,3,0.062,0,8,0.398,0,1,0.008,0,7,0.285,2,0.121,away,3,0,W,Everton,Brighton,2024-08-17 14:00:00,EPL
26606,635,Alex McCarthy,Southampton,3,1,1,0,0.0,0.433,0.433,-0.567,-0.567,0,0,0,0,0,0.0,0,3,0.433,1,0,0.0,0,1,0.36,1,2,0.073,0,2,0.397,1,0.036,away,0,1,L,Newcastle United,Southampton,2024-08-17 14:00:00,EPL
26606,5552,Nick Pope,Newcastle United,19,3,0,3,100.0,2.153,2.153,2.153,2.153,0,0,0,1,1,0.402,0,12,1.552,0,6,0.199,0,15,1.909,0,4,0.244,0,16,1.63,3,0.523,home,1,0,W,Newcastle United,Southampton,2024-08-17 14:00:00,EPL
26607,1297,Neto,Bournemouth,14,8,1,7,87.5,1.285,1.285,0.285,0.285,0,0,0,0,0,0.0,0,8,1.137,1,6,0.148,0,13,1.202,1,1,0.083,0,12,1.094,2,0.191,away,1,1,D,Nottingham Forest,Bournemouth,2024-08-17 14:00:00,EPL
26607,6903,Matz Sels,Nottingham Forest,13,4,1,3,75.0,1.909,1.909,0.909,0.909,0,0,0,0,3,1.214,1,3,0.463,0,7,0.233,0,11,1.412,1,2,0.497,0,11,1.349,2,0.561,home,1,1,D,Nottingham Forest,Bournemouth,2024-08-17 14:00:00,EPL
26608,2310,Alphonse Areola,West Ham,15,4,2,1,25.0,2.681,2.681,0.681,0.681,0,0,0,0,2,0.586,1,8,1.747,1,5,0.348,0,13,2.095,1,2,0.586,1,13,2.095,1,0.521,home,1,2,L,West Ham,Aston Villa,2024-08-17 16:30:00,EPL
26608,4401,Emiliano Martinez,Aston Villa,14,3,1,2,66.66666666666666,3.349,2.587,2.349,2.587,1,1,0,0,4,1.662,0,7,1.606,1,3,0.08,0,11,2.525,0,2,0.063,0,10,2.206,4,1.142,away,2,1,W,West Ham,Aston Villa,2024-08-17 16:30:00,EPL
26609,7047,Mark Flekken,Brentford,14,6,0,6,100.0,1.148,1.148,1.148,1.148,0,0,0,0,1,0.514,0,5,0.344,0,8,0.289,0,11,0.978,0,3,0.17,0,14,1.148,0,0.0,home,2,1,W,Brentford,Crystal Palace,2024-08-18 13:00:00,EPL
26609,7702,Dean Henderson,Crystal Palace,10,5,2,3,60.0,1.444,1.444,-0.556,-0.556,0,0,0,0,2,1.07,1,6,0.352,1,2,0.022,0,8,1.394,2,2,0.05,0,8,1.375,2,0.069,away,1,2,L,Brentford,Crystal Palace,2024-08-18 13:00:00,EPL
26610,6054,Ederson,Manchester City,10,3,0,3,100.0,1.061,1.061,1.061,1.061,0,0,0,1,1,0.546,0,5,0.41,0,4,0.106,0,9,1.008,0,1,0.053,0,9,0.953,1,0.108,away,2,0,W,Chelsea,Manchester City,2024-08-18 15:30:00,EPL
26610,9098,Robert Sánchez,Chelsea,11,5,2,3,60.0,1.18,1.18,-0.82,-0.82,0,0,0,0,0,0.0,0,6,0.967,1,5,0.213,1,10,1.134,2,1,0.046,0,11,1.18,0,0.0,home,0,2,L,Chelsea,Manchester City,2024-08-18 15:30:00,EPL
26611,8858,Guglielmo Vicario,Tottenham,7,3,1,2,66.66666666666666,1.026,1.026,0.026,0.026,0,0,0,0,1,0.505,1,5,0.513,0,1,0.008,0,5,0.953,1,2,0.073,0,4,0.485,3,0.541,away,1,1,D,Leicester,Tottenham,2024-08-19 19:00:00,EPL
26611,12910,Mads Hermansen,Leicester,15,6,1,5,83.33333333333334,1.408,1.408,0.408,0.408,0,0,0,0,2,0.359,0,10,0.985,1,3,0.064,0,7,0.576,1,8,0.832,0,9,0.537,6,0.871,home,1,1,D,Leicester,Tottenham,2024-08-19 19:00:00,EPL
26612,7235,Jason Steele,Brighton,11,3,1,2,66.66666666666666,1.286,1.286,0.286,0.286,0,0,0,0,1,0.52,0,7,0.7,1,3,0.065,0,9,1.204,1,2,0.082,0,9,1.204,2,0.082,home,2,1,W,Brighton,Manchester United,2024-08-24 11:30:00,EPL
26612,10913,André Onana,Manchester United,14,5,2,2,40.0,2.142,2.142,0.142,0.142,0,0,0,0,4,1.509,2,6,0.459,0,4,0.173,0,9,1.393,1,5,0.749,1,9,1.352,5,0.79,away,1,2,L,Brighton,Manchester United,2024-08-24 11:30:00,EPL
26613,2310,Alphonse Areola,West Ham,14,4,0,2,50.0,1.376,1.376,1.376,1.376,0,0,0,1,0,0.0,0,8,1.242,0,6,0.135,0,10,1.153,0,4,0.223,0,13,1.239,1,0.137,away,2,0,W,Crystal Palace,West Ham,2024-08-24 14:00:00,EPL
26613,7702,Dean Henderson,Crystal Palace,18,3,2,1,33.33333333333333,1.566,1.566,-0.434,-0.434,0,0,0,0,1,0.482,0,12,0.979,2,5,0.105,0,12,0.887,2,6,0.679,0,14,0.925,4,0.641,home,0,2,L,Crystal Palace,West Ham,2024-08-24 14:00:00,EPL
26614,181,Bernd Leno,Fulham,10,4,1,3,75.0,0.857,0.857,-0.143,-0.143,0,0,0,0,1,0.474,1,5,0.274,0,4,0.109,0,4,0.116,0,6,0.741,1,6,0.217,4,0.64,home,2,1,W,Fulham,Leicester,2024-08-24 14:00:00,EPL
26614,12910,Mads Hermansen,Leicester,18,6,2,4,66.66666666666666,1.962,1.962,-0.038,-0.038,0,0,0,0,2,0.514,0,11,1.219,2,5,0.229,0,11,1.34,2,7,0.622,0,12,1.293,6,0.669,away,1,2,L,Fulham,Leicester,2024-08-24 14:00:00,EPL
26615,6054,Ederson,Manchester City,1,1,1,0,0.0,0.48,0.48,-0.52,-0.52,0,0,0,0,0,0.0,0,0,0.0,0,1,0.48,1,1,0.48,1,0,0.0,0,1,0.48,0,0.0,home,4,1,W,Manchester City,Ipswich,2024-08-24 14:00:00,EPL
26615,7027,Arijanet Muric,Ipswich,14,7,4,1,14.285714285714285,3.078,2.317,-0.922,-0.683,1,1,0,0,1,0.151,0,8,2.392,2,5,0.535,2,10,1.785,3,3,0.532,0,11,2.652,3,0.426,away,1,4,L,Manchester City,Ipswich,2024-08-24 14:00:00,EPL
26616,635,Alex McCarthy,Southampton,23,8,1,7,87.5,2.917,2.917,1.917,1.917,0,0,0,0,3,1.314,1,11,1.285,0,9,0.318,0,15,1.346,0,8,1.571,1,19,2.228,4,0.689,home,0,1,L,Southampton,Nottingham Forest,2024-08-24 14:00:00,EPL
26616,6903,Matz Sels,Nottingham Forest,5,1,0,1,100.0,0.215,0.215,0.215,0.215,0,0,0,1,0,0.0,0,2,0.092,0,3,0.123,0,4,0.193,0,1,0.021,0,5,0.215,0,0.0,away,1,0,W,Southampton,Nottingham Forest,2024-08-24 14:00:00,EPL
26617,741,Jordan Pickford,Everton,13,7,4,3,42.857142857142854,2.611,2.611,-1.389,-1.389,0,0,0,0,1,0.527,1,8,1.826,2,4,0.259,1,7,1.607,3,6,1.004,1,9,1.683,4,0.928,away,0,4,L,Tottenham,Everton,2024-08-24 14:00:00,EPL
