gk_player_id,gk_name,gk_team,league,matches,shots_faced,shots_on_target,goals_conceded,saves,xGA,npxGA,goals_prevented,np_goals_prevented,penalties_faced,penalties_conceded,penalties_saved,clean_sheet,shots_six_yard,xG_six_yard,goals_six_yard,shots_pen_area,xG_pen_area,goals_pen_area,shots_outside_box,xG_outside_box,goals_outside_box,shots_open_play,xG_open_play,goals_open_play,shots_set_piece,xG_set_piece,goals_set_piece,shots_foot,xG_foot,shots_head,xG_head,save_pct,clean_sheet_pct,goals_prevented_per90,xGA_per90,goals_conceded_per90,home_matches,home_xGA,home_goals_conceded,home_saves,home_shots_on_target,home_clean_sheets,home_save_pct,home_goals_prevented,away_matches,away_xGA,away_goals_conceded,away_saves,away_shots_on_target,away_clean_sheets,away_save_pct,away_goals_prevented,vs_top_matches,vs_top_xGA,vs_top_goals_conceded,vs_top_saves,vs_top_shots_on_target,vs_top_save_pct,vs_top_goals_prevented,vs_weak_matches,vs_weak_xGA,vs_weak_goals_conceded,vs_weak_saves,vs_weak_shots_on_target,vs_weak_save_pct,vs_weak_goals_prevented,result_W_matches,result_W_xGA,result_W_goals_conceded,result_D_matches,result_D_xGA,result_D_goals_conceded,result_L_matches,result_L_xGA,result_L_goals_conceded,consistency_cv
73,Oliver Baumann,Hoffenheim,Bundesliga,28,410,143,51,87,51.052,47.263,0.05200000000000049,-1.737,5,2,3,4,38,12.081,9,249,34.119,39,123,4.849,3,285,35.668,39,120,11.597,10,328,41.575,80,9.382,60.8,14.3,0.002,1.823,1.821,14.0,26.907,28.0,41.0,71.0,1.0,57.7,-1.093,14.0,24.145,23.0,46.0,72.0,3.0,63.9,1.145,7.0,17.162,21.0,24.0,46.0,52.2,-3.838,21.0,33.89,30.0,63.0,97.0,64.9,3.89,6.0,9.423,6.0,8.0,11.626999999999999,6.0,14.0,30.002,39.0,557.061
126,Michael Zetterer,Werder Bremen,Bundesliga,34,470,166,54,102,55.802,53.528999999999996,1.8019999999999996,2.5289999999999995,3,3,0,10,46,16.67,13,243,32.725,31,181,6.406000000000001,10,343,42.741,44,124,10.785,7,382,43.794,86,11.402,61.4,29.4,0.053,1.641,1.588,17.0,24.216,25.0,44.0,74.0,6.0,59.5,-0.784,17.0,31.586,29.0,58.0,92.0,4.0,63.0,2.586,10.0,18.32,14.0,35.0,54.0,64.8,4.32,24.0,37.482,40.0,67.0,112.0,59.8,-2.518,14.0,17.442,10.0,9.0,12.44,11.0,11.0,25.92,33.0,18.601
127,Timo Horn,Bochum,Bundesliga,13,174,58,22,32,24.848,24.09,2.8480000000000003,2.0900000000000003,1,0,0,3,15,8.236,6,104,14.241,11,55,2.371,5,126,17.705,17,47,6.3839999999999995,5,146,19.401,28,5.447,55.2,23.1,0.219,1.911,1.692,7.0,13.243,15.0,14.0,31.0,1.0,45.2,-1.757,6.0,11.605,7.0,18.0,27.0,2.0,66.7,4.605,5.0,13.554,12.0,13.0,28.0,46.4,1.554,8.0,11.294,10.0,19.0,30.0,63.3,1.294,3.0,6.296,2.0,3.0,3.736,2.0,7.0,14.815999999999999,18.0,5.997
181,Bernd Leno,Fulham,EPL,38,433,165,52,106,50.097,47.053000000000004,-1.903,-1.947,4,3,1,5,40,12.359,12,265,32.878,26,128,4.855,14,305,35.149,41,124,11.903,8,341,36.968,89,12.693,64.2,13.2,-0.05,1.318,1.368,19.0,22.869,28.0,51.0,81.0,2.0,63.0,-5.131,19.0,27.228,24.0,55.0,84.0,3.0,65.5,3.228,14.0,24.268,21.0,52.0,77.0,67.5,3.268,24.0,25.829,31.0,54.0,88.0,61.4,-5.171,15.0,17.57,13.0,9.0,11.553,11.0,14.0,20.974,28.0,19.14
199,Yann Sommer,Inter,Serie_A,33,340,118,31,85,37.195,34.151,6.195,6.151,4,3,1,13,26,8.933,7,196,24.628,21,118,3.6390000000000002,3,265,27.067,22,71,7.088,6,277,31.466,63,5.732,72.0,39.4,0.188,1.127,0.939,16.0,20.695,18.0,40.0,58.0,4.0,69.0,2.695,17.0,16.5,13.0,45.0,60.0,9.0,75.0,3.5,4.0,5.678,3.0,13.0,16.0,81.2,2.678,29.0,31.517,28.0,72.0,102.0,70.6,3.517,20.0,15.679,8.0,8.0,12.451,15.0,5.0,9.065,8.0,4.489
217,Manuel Neuer,Bayern Munich,Bundesliga,22,157,51,15,30,16.296,14.78,1.2960000000000005,0.7800000000000005,2,1,0,13,7,1.11,0,102,14.111,13,48,1.079,2,117,12.568,11,38,2.212,3,124,14.19,33,2.108,58.8,59.1,0.059,0.741,0.682,11.0,7.053000000000001,6.0,20.0,26.0,8.0,76.9,1.053,11.0,9.243,9.0,10.0,25.0,5.0,40.0,0.243,7.0,6.191000000000001,6.0,10.0,19.0,52.6,0.191,15.0,10.105,9.0,20.0,32.0,62.5,1.105,18.0,11.539,10.0,4.0,4.757000000000001,5.0,,,,15.533
250,Ørjan Nyland,Sevilla,La_Liga,30,333,116,38,74,39.768,36.795,1.7679999999999998,1.795,4,3,1,8,22,7.393,7,187,28.352,23,124,4.021,8,235,28.71,24,94,8.088,11,263,30.572,68,8.319,63.8,26.7,0.059,1.326,1.267,15.0,18.962,20.0,33.0,56.0,3.0,58.9,-1.038,15.0,20.805999999999997,18.0,41.0,60.0,5.0,68.3,2.806,5.0,10.872,15.0,17.0,33.0,51.5,-4.128,25.0,28.896,23.0,57.0,83.0,68.7,5.896,8.0,5.728,2.0,10.0,13.788,9.0,12.0,20.252,27.0,15.235
281,Lukas Hradecky,Bayer Leverkusen,Bundesliga,29,298,125,35,83,38.24,35.209,3.24,4.2090000000000005,4,4,0,6,37,12.549999999999999,10,153,22.464,19,108,3.221,6,218,23.799,25,76,11.413,6,253,30.053,43,6.7700000000000005,66.4,20.7,0.112,1.319,1.207,14.0,16.101,18.0,30.0,51.0,3.0,58.8,-1.899,15.0,22.139,17.0,53.0,74.0,3.0,71.6,5.139,8.0,10.071,11.0,13.0,27.0,48.1,-0.929,21.0,28.169,24.0,70.0,98.0,71.4,4.169,16.0,21.66,19.0,11.0,13.503,10.0,2.0,3.077,6.0,7.521
449,Robin Zentner,Mainz 05,Bundesliga,32,445,151,41,101,49.854,46.065,8.854,9.065,5,4,1,9,42,13.84,16,272,31.609,20,131,4.406,5,316,34.977,24,124,11.088,13,354,39.44,89,9.894,66.9,28.1,0.277,1.558,1.281,16.0,20.2,17.0,41.0,62.0,5.0,66.1,3.2,16.0,29.654,24.0,60.0,89.0,4.0,67.4,5.654,9.0,17.67,15.0,35.0,55.0,63.6,2.67,23.0,32.184,26.0,66.0,96.0,68.8,6.184,13.0,15.513,7.0,9.0,14.768,12.0,10.0,19.573,22.0,3.145
473,Danny Ward,Leicester,EPL,1,8,5,3,1,1.135,1.135,-1.865,-1.865,0,0,0,0,0,0.0,0,6,1.074,3,2,0.062,0,6,1.071,3,2,0.064,0,5,0.332,2,0.504,20.0,0.0,-1.865,1.135,3.0,1.0,1.135,3.0,1.0,5.0,0.0,20.0,-1.865,,,,,,,,,,,,,,,,1.0,1.135,3.0,1.0,5.0,20.0,-1.865,,,,,,,1.0,1.135,3.0,
527,Adrián,Real Betis,La_Liga,19,217,79,27,49,25.828,25.085,-1.1720000000000002,-0.9149999999999999,1,1,0,3,14,5.514,5,121,17.938,19,82,2.376,3,153,18.358,19,63,6.728,7,181,20.637,36,5.191,62.0,15.8,-0.062,1.359,1.421,10.0,11.062,12.0,16.0,30.0,2.0,53.3,-0.938,9.0,14.766,15.0,33.0,49.0,1.0,67.3,-0.234,4.0,8.913,8.0,12.0,22.0,54.5,0.913,15.0,16.915,19.0,37.0,57.0,64.9,-2.085,10.0,8.608,8.0,5.0,7.421,7.0,4.0,9.799,12.0,11.016
546,David de Gea,Fiorentina,Serie_A,35,419,143,37,98,43.813,41.53,6.813,5.529999999999999,3,1,2,11,28,8.786,10,240,29.691,23,151,5.337,4,311,31.314,30,105,10.218,6,338,34.647999999999996,78,8.697,68.5,31.4,0.195,1.252,1.057,17.0,17.879,16.0,42.0,60.0,6.0,70.0,1.879,18.0,25.934,21.0,56.0,83.0,5.0,67.5,4.934,6.0,10.957,7.0,24.0,33.0,72.7,3.957,29.0,32.856,30.0,74.0,110.0,67.3,2.856,19.0,20.544,12.0,5.0,5.6259999999999994,5.0,11.0,17.643,20.0,4.235
